"kode","navn","verdensdel","region","tilfeller","tilfeller1000","dode","respons","areal","folketall","BNPpc","over64","urban","turisme","temperatur","immigranter","FHIFIW","kvinneligleder","eumedlem","oecdmedlem","tillitgenerelt","tillitmyndigheter","sykepenger","velferdsstatstypologi","DDD1000","DRI"
"ABW","Aruba","Amerika","Latin-Amerika og Karibia",106,1.00146440549861,3,36.11,180,105845,NA,13.5509471396854,43.411,1082000,NA,34.4,NA,0,0,0,NA,NA,NA,NA,NA,NA
"AFG","Afghanistan","Asia","Sør-Asia",34740,0.934564706177322,1045,84.26,652860,37172386,524.162880925404,2.58492693988024,25.495,NA,12.6,0.4,27,0,0,0,NA,NA,NA,NA,NA,NA
"AGO","Angola","Afrika","Afrika sør for Sahara",525,0.0170400537336186,26,77.78,1246700,30809762,3289.64666408633,2.21637364776329,65.514,218000,21.55,2.1,32,0,0,0,NA,NA,NA,NA,NA,NA
"ALB","Albania","Europa","Sør-Europa",3667,1.27931576317971,97,67.59,27400,2866376,5284.38018438156,13.7447359109736,60.319,5340000,11.4,1.7,67,0,0,0,NA,NA,NA,NA,16.41,NA
"AND","Andorra","Europa","Sør-Europa",861,11.1809469391995,52,38.89,470,77006,41793.0552583729,NA,88.062,3042000,NA,58.5,94,0,0,0,1.74622356495468,2.55790533736153,NA,NA,NA,NA
"ARE","De forente arabiske emirater","Asia","Vest-Asia",55573,5.77024572526993,335,69.44,71020,9630959,43839.3563491413,1.08500098484481,86.522,21286000,27,87.9,17,0,0,0,NA,NA,NA,NA,NA,NA
"ARG","Argentina","Amerika","Latin-Amerika og Karibia",103252,2.32055636896442,1926,90.74,2736690,44494502,11683.9496216363,11.1177888760774,91.87,6942000,14.8,4.9,85,0,0,0,1.79339723109691,2.94249201277955,NA,NA,NA,51
"ARM","Armenia","Asia","Vest-Asia",33005,11.1814040089763,592,NA,28470,2951776,4220.49027671249,11.2538176570131,63.149,1652000,7.15,6.4,53,0,0,0,NA,NA,NA,NA,10.31,NA
"ATG","Antigua og Barbuda","Amerika","Latin-Amerika og Karibia",74,0.768543713520138,3,NA,440,96286,16726.9808079479,8.79982551980558,24.599,269000,26,30.1,85,0,0,0,NA,NA,NA,NA,NA,NA
"AUS","Australia","Oseania","Australia og New Zealand",10251,0.410324141261341,108,59.26,7692020,24982688,57395.9194663167,15.6564752275591,86.012,9246000,21.65,30,97,0,0,1,1.45868465430017,2.81899943788645,1,1,NA,38
"AUT","Østerrike","Europa","Vest-Europa",19060,2.15598153095276,709,50,82522.998046875,8840521,51525.0464342791,19.0015664595899,58.297,30816000,6.35,19.9,93,0,1,1,NA,NA,0.84,2,12.17,33
"AZE","Aserbajdsjan","Asia","Vest-Asia",25113,2.52651695899231,319,77.78,82670,9939771,4739.84171028393,6.19518275071493,55.68,2633000,11.95,2.5,10,0,0,0,NA,NA,NA,NA,7.66,NA
"BDI","Burundi","Afrika","Afrika sør for Sahara",269,0.0240707741608382,1,22.22,25680,11175378,271.752044376648,2.24694046033717,13.032,NA,19.8,2.8,13,0,0,0,NA,NA,NA,NA,4.44,NA
"BEL","Belgia","Europa","Vest-Europa",63507,5.55760041039449,9798,75,30280,11427054,47491.3232594693,18.7887437383395,98.001,9119000,9.55,17.2,96,0,1,1,NA,NA,1,2,25.57,43
"BEN","Benin","Afrika","Afrika sør for Sahara",1378,0.119982084532864,26,49.07,112760,11485048,1240.82946441954,3.25360529746338,47.312,295000,27.55,3.3,66,0,0,0,NA,NA,NA,NA,NA,NA
"BFA","Burkina Faso","Afrika","Afrika sør for Sahara",1038,0.0525528775358472,53,49.07,273600,19751535,820.160793810547,2.40698082866355,29.358,144000,28.25,3.5,56,0,0,0,NA,NA,NA,NA,13.78,NA
"BGD","Bangladesh","Asia","Sør-Asia",190057,1.17787348510706,2424,62.96,130170,161356039,1698.35039428122,5.15839063962068,36.632,NA,25,1.3,39,0,0,0,1.86930860033727,1.88954468802698,NA,NA,NA,NA
"BGR","Bulgaria","Europa","Øst-Europa",7645,1.08825049604721,283,44.44,108560,7025037,9423.5586115666,21.021914434268,75.008,9273000,10.55,2.4,80,0,1,0,NA,NA,0.80427463,NA,20.25,NA
"BHR","Bahrain","Asia","Vest-Asia",34078,21.7134912538812,111,75,778.000030517578,1569439,23991.05667694,2.42633387832394,89.287,12045000,27.15,45.2,11,0,0,0,NA,NA,NA,NA,NA,NA
"BHS","Bahamas","Amerika","Latin-Amerika og Karibia",116,0.300798672336895,11,NA,10010,385640,32217.871590084,7.25760235662035,83.025,1633000,24.85,16.2,NA,0,0,0,NA,NA,NA,NA,NA,NA
"BIH","Bosnia-Hercegovina","Europa","Sør-Europa",7176,2.15889087883646,225,62.96,51200,3323929,6072.18099160639,16.4703174710621,48.245,1053000,9.85,1.1,53,0,0,0,NA,NA,NA,NA,17.85,52
"BLR","Hviterussland","Europa","Øst-Europa",65269,6.88237537643016,474,13.89,202988.0078125,9483499,6330.0752464187,14.8451481743098,78.595,11501600,6.15,11.3,19,0,0,0,NA,NA,NA,NA,17.48,NA
"BLZ","Belize","Amerika","Latin-Amerika og Karibia",39,0.101808803067839,2,75.93,22810,383071,4884.7341615523,4.73645877657144,45.724,489000,25.3,15.4,86,0,0,0,NA,NA,NA,NA,NA,NA
"BMU","Bermuda","Amerika","Nord-Amerika",150,2.34668335419274,9,72.22,54.0000009536743,63920,NA,NA,100,282000,21.3,30.9,NA,0,0,0,NA,NA,NA,NA,NA,NA
"BOL","Bolivia","Amerika","Latin-Amerika og Karibia",50867,4.48043369844225,1898,87.96,1083300,11353142,3548.59015254032,7.19194739218447,69.425,1142000,21.55,1.4,63,0,0,0,1.91422905304908,2.94397620228061,NA,NA,19.57,NA
"BRA","Brasil","Amerika","Latin-Amerika og Karibia",1926824,9.19859710442674,74133,77.31,8358140,209469333,9001.23424863499,8.92283783244003,86.569,6621000,24.95,0.4,75,0,0,0,1.93628318584071,3.28967551622419,NA,NA,22.75,NA
"BRB","Barbados","Amerika","Latin-Amerika og Karibia",103,0.35933449855394,7,78.7,430,286641,17745.1934649963,15.8026939621338,31.147,680000,26,12.1,95,1,0,0,NA,NA,NA,NA,NA,NA
"BRN","Brunei Darussalam","Asia","Sørøst-Asia",141,0.328700444328402,3,49.07,5270,428962,31628.3287914349,4.87314756750582,77.629,278000,26.85,25.5,28,0,0,0,NA,NA,NA,NA,5.92,NA
"BTN","Bhutan","Asia","Sør-Asia",84,0.111347651227343,0,77.78,38143.9990234375,754394,3243.23112593497,6.00301171280561,40.895,274000,7.4,7,59,0,0,0,NA,NA,NA,NA,NA,NA
"BWA","Botswana","Afrika","Afrika sør for Sahara",399,0.177008738641939,1,57.41,566730,2254126,8279.60136473398,4.22387434629301,69.446,NA,21.5,4.8,72,0,0,0,NA,NA,NA,NA,NA,NA
"CAF","Den sentralafrikanske republikk","Afrika","Afrika sør for Sahara",4356,0.933486514270064,53,75.93,622980,4666377,475.953609871945,2.82577370666008,41.364,NA,24.9,1.9,10,0,0,0,NA,NA,NA,NA,NA,NA
"CAN","Canada","Amerika","Nord-Amerika",108475,2.92718678527968,8798,70.83,9093510,37057765,46313.1713712961,17.2320066788651,81.411,21134000,-5.35,21.3,98,0,0,1,NA,NA,0.8,1,17.05,10
"CHE","Sveits","Europa","Vest-Europa",32931,3.86771523627992,1687,62.96,39516.0009765625,8514329,82818.1081617471,18.6232165647717,73.797,10362000,5.5,29.9,96,1,0,1,NA,NA,1,1,NA,33
"CHL","Chile","Amerika","Latin-Amerika og Karibia",319493,17.0585867171833,7069,78.24,743532.03125,18729160,15924.7942393064,11.5298016568816,87.564,5723000,8.45,5,90,0,0,1,1.85639958376691,2.81269510926119,NA,NA,NA,NA
"CHN","Kina","Asia","Øst-Asia",85199,0.0611740969175648,4642,81.94,9388210,1392730000,9976.67682180773,10.9208835350654,59.152,62900000,6.95,0.1,10,0,0,0,1.34510326449034,1.56029313790806,NA,NA,NA,NA
"CIV","Elfenbenskysten","Afrika","Afrika sør for Sahara",13037,0.520039926237859,87,59.26,318000,25069229,2302.61295091153,2.85894301500285,50.779,1965000,26.35,9.9,51,0,0,0,NA,NA,NA,NA,10.68,NA
"CMR","Kamerun","Afrika","Afrika sør for Sahara",15173,0.601715474041587,359,60.19,472710,25216237,1534.49127445052,2.72887735524057,56.374,NA,24.6,2,18,0,0,0,NA,NA,NA,NA,NA,NA
"COD","Kongo","Afrika","Afrika sør for Sahara",8135,0.0967667982373954,189,80.56,2267050,84068091,557.064418324276,3.01784062159803,44.46,NA,NA,1.1,18,0,0,0,NA,NA,NA,NA,NA,NA
"COG","Kongo-Brazzaville","Afrika","Afrika sør for Sahara",2222,0.42369302048695,47,73.15,341500,5244363,2223.85447919587,2.68171953903232,66.916,156000,24.55,7.5,20,0,0,0,NA,NA,NA,NA,NA,NA
"COL","Colombia","Amerika","Latin-Amerika og Karibia",159898,3.22058882324879,5625,87.04,1109500,49648685,6718.58532391314,8.47804701986958,80.778,3904000,24.5,2.3,66,0,0,1,1.95460526315789,3.11710526315789,NA,NA,NA,NA
"COM","Komorene","Afrika","Afrika sør for Sahara",317,0.380862214383376,7,NA,1861.00006103516,832322,1415.95531263535,3.00700930649436,28.965,35900,25.55,1.5,44,0,0,0,NA,NA,NA,NA,NA,NA
"CPV","Kapp Verde","Afrika","Afrika sør for Sahara",1780,3.27346087570595,19,77.78,4030,543767,3617.32748829173,4.60932715666821,65.732,710000,23.3,2.8,92,0,0,0,NA,NA,NA,NA,NA,NA
"CRI","Costa Rica","Amerika","Latin-Amerika og Karibia",8482,1.69658967872608,36,72.22,51060,4999441,12112.1344206452,9.54984767296984,79.34,3017000,24.8,8.3,91,0,0,0,NA,NA,NA,NA,14.18,NA
"CUB","Cuba","Amerika","Latin-Amerika og Karibia",2432,0.214497301055958,87,100,104020,11338138,8821.81889125004,15.1862114171521,77.037,4684000,25.2,0,14,0,0,0,NA,NA,NA,NA,NA,NA
"CUW","Curacao","Amerika","Latin-Amerika og Karibia",26,0.16270337922403,1,NA,NA,159800,19573.892645136,16.6848948092804,89.145,432000,NA,25,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"CYM","Caymanøyene","Amerika","Latin-Amerika og Karibia",203,3.16327484651105,1,NA,240,64174,85477.2870130687,NA,100,463000,NA,44.6,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"CYP","Kypros","Asia","Vest-Asia",1022,0.859354307072015,19,82.41,9240,1189265,28689.7067225792,13.7190617734483,66.81,3939000,18.45,16,94,0,1,0,1.91748099891422,2.71552660152009,NA,NA,27.14,NA
"CZE","Tsjekkia","Europa","Øst-Europa",13341,1.25504142643299,355,39.81,77220,10629928,23046.9491261402,19.4208768932343,73.792,10611000,7.55,4.8,91,0,1,1,NA,NA,0.83836966,NA,17.18,38
"DEU","Tyskland","Europa","Vest-Europa",199726,2.40907202346876,9071,50,349360,82905782,47639.0034407122,21.4619619953309,77.312,38881000,8.5,15.7,94,1,1,1,1.53984753984754,2.62092862092862,0.81,2,11.49,28
"DJI","Djibouti","Afrika","Afrika sør for Sahara",4979,5.1922996704626,56,50.93,23180,958920,3141.88921873893,4.52757937811482,77.777,NA,28,11.8,24,0,0,0,NA,NA,NA,NA,NA,NA
"DMA","Dominica","Amerika","Latin-Amerika og Karibia",18,0.25130890052356,0,74.07,750,71625,7691.34509727878,NA,70.483,63000,22.35,11.5,93,0,0,0,NA,NA,NA,NA,NA,NA
"DNK","Danmark","Europa","Nord-Europa",13061,2.25437013992595,610,62.96,41990,5793636,61390.6930097009,19.8129526369902,87.874,12749000,7.5,12.5,97,1,1,1,NA,NA,1,3,17.84,24
"DOM","Den dominikanske republikk","Amerika","Latin-Amerika og Karibia",46305,4.35722979741069,910,78.7,48310,10627165,8050.63044027449,7.08281747649721,81.074,6569000,24.55,5.3,67,0,0,0,NA,NA,NA,NA,NA,NA
"DZA","Algerie","Afrika","Nord-Afrika",20216,0.478729625485239,1028,86.57,2381740,42228429,4114.71506136896,6.36249654497986,72.629,2657000,22.5,0.6,34,0,0,0,NA,NA,NA,NA,NA,NA
"ECU","Ecuador","Amerika","Latin-Amerika og Karibia",69570,4.07214623295451,5130,86.11,248360,17084357,6295.93539868079,7.15728972666108,63.821,2535000,21.85,2.2,65,0,0,0,1.94158075601375,2.90979381443299,NA,NA,NA,60
"EGY","Egypt","Afrika","Nord-Afrika",83930,0.852742678216539,4008,84.26,995450,98423595,2549.13225178609,5.22977934620923,42.704,11196000,22.1,0.5,21,0,0,0,NA,NA,NA,NA,NA,NA
"ERI","Eritrea","Afrika","Afrika sør for Sahara",232,NA,0,93.52,101000,NA,NA,NA,NA,NA,25.5,0.5,2,0,0,0,NA,NA,NA,NA,NA,NA
"ESP","Spania","Europa","Sør-Europa",257494,5.50227260906581,28413,70.37,499563.984375,46797754,30337.6791331632,19.3785075224995,80.321,82773000,13.3,13.1,92,0,1,1,NA,NA,NA,NA,17.96,48
"EST","Estland","Europa","Nord-Europa",2015,1.52423226727848,63,37.96,43470,1321977,23258.4675814303,19.6263568469749,68.88,3234000,5.1,14.4,94,0,1,1,NA,NA,0.983889292,NA,12.13,34
"ETH","Etiopia","Afrika","Afrika sør for Sahara",7969,0.0729597818746972,139,80.56,1e+06,109224559,771.523813864476,3.50113299760986,20.763,849000,22.2,1.1,24,0,0,0,1.88036303630363,2.19059405940594,NA,NA,NA,NA
"FIN","Finland","Europa","Nord-Europa",7293,1.32226759918593,328,41.67,303910,5515525,50021.2910567702,21.7207875455222,85.382,3224000,1.7,6.9,100,1,1,1,NA,NA,1,3,18.52,20
"FJI","Fiji","Oseania","Melanesia",26,0.0294289759961425,0,78.7,18270,883483,6266.96795881419,5.44968041263952,56.248,870000,24.4,1.6,60,0,0,0,NA,NA,NA,NA,NA,NA
"FRA","Frankrike","Europa","Vest-Europa",172377,2.57410068573396,30029,65.74,547556.9921875,66965912,41631.0907389044,20.0346247469881,80.444,89322000,10.7,12.8,90,0,1,1,NA,NA,1,2,25.92,42
"FRO","Færøyene","Europa","Nord-Europa",188,3.87652844505846,0,NA,1396.00006103516,48497,NA,NA,42.064,NA,6.1,13.3,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"GAB","Gabon","Afrika","Afrika sør for Sahara",6026,2.84342522796711,46,80.56,257670,2119275,7956.62781558686,3.56390746835592,89.37,NA,25.05,18.9,22,0,0,0,NA,NA,NA,NA,NA,NA
"GBR","Storbritannia","Europa","Nord-Europa",292479,4.40080478668603,40899,67.59,241930,66460344,43043.2278164551,18.3958656741466,83.398,36316000,8.45,14.1,94,0,0,1,NA,NA,0.88,NA,20.47,45
"GEO","Georgia","Asia","Vest-Asia",1003,0.269149821993485,15,71.3,69490,3726549,4722.78778321766,14.8654914310525,58.632,4757000,5.8,2,61,0,0,0,NA,NA,NA,NA,24.44,NA
"GHA","Ghana","Afrika","Afrika sør for Sahara",24988,0.839450039956854,139,56.48,227540,29767108,2202.31216442504,3.06889800693396,56.06,NA,27.2,1.5,82,0,0,0,NA,NA,NA,NA,NA,NA
"GIB","Gibraltar","Europa","Sør-Europa",180,5.33839492259327,0,NA,10,33718,NA,NA,100,NA,17.5,33.2,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"GIN","Guinea","Afrika","Afrika sør for Sahara",6141,0.49467075033844,37,78.7,245720,12414318,983.309492239346,2.92602244847935,36.14,NA,25.7,0.9,40,0,0,0,NA,NA,NA,NA,NA,NA
"GMB","Gambia","Afrika","Afrika sør for Sahara",64,0.0280689197237667,3,77.78,10120,2280102,712.512371079256,2.58998093938232,61.27,552000,27.5,9.2,46,0,0,0,NA,NA,NA,NA,NA,NA
"GNB","Guinea-Bissau","Afrika","Afrika sør for Sahara",1902,1.01477397803671,26,NA,28120,1874309,777.969921786711,2.82371633615269,43.36,NA,26.75,1.4,46,0,0,0,NA,NA,NA,NA,NA,NA
"GNQ","Ekvatorial-Guinea","Afrika","Afrika sør for Sahara",3071,2.34611229864,51,NA,28050,1308974,10144.1958108456,2.45787734677897,72.143,NA,24.55,16.8,6,0,0,0,NA,NA,NA,NA,NA,NA
"GRC","Hellas","Europa","Sør-Europa",3883,0.361785399299089,193,54.63,128900,10732882,20324.3050137875,21.6552720778435,79.058,30123000,15.4,11.6,88,0,1,1,1.9153122326775,3.3524379811805,0.66,NA,33.85,47
"GRD","Grenada","Amerika","Latin-Amerika og Karibia",23,0.206363163278124,0,NA,340,111454,10485.9071571796,9.62190679562869,36.272,185000,26.65,6.4,89,0,0,0,NA,NA,NA,NA,NA,NA
"GRL","Grønland","Amerika","Nord-Amerika",13,0.232047551898327,0,50,410450,56023,54470.9563864255,NA,86.816,NA,-16.05,10,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"GTM","Guatemala","Amerika","Latin-Amerika og Karibia",30872,1.88854801660249,1302,96.3,107160,16346950,4472.89236269013,4.81207250828785,51.054,1781000,23.45,0.5,52,0,0,0,1.82044887780549,3.32003325020781,NA,NA,NA,NA
"GUM","Guam","Oseania","Mikronesia",313,1.88818107234207,5,63.89,540,165768,35712.5621350321,9.84991071859466,94.78,1549000,NA,47.7,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"GUY","Guyana","Amerika","Latin-Amerika og Karibia",308,0.395376660453605,17,87.04,196850,779004,4979.00218839886,6.45027124309697,26.606,287000,26,2,74,0,0,0,NA,NA,NA,NA,NA,NA
"HND","Honduras","Amerika","Latin-Amerika og Karibia",29106,3.03582093475248,807,100,111890,9587522,2505.7767518956,4.69061765907812,57.096,NA,23.5,0.4,45,0,0,0,NA,NA,NA,NA,NA,NA
"HRV","Kroatia","Europa","Sør-Europa",3827,0.936190553306475,119,50.93,55960,4087843,14920.1913831924,20.445433012423,56.947,16645000,10.9,12.5,85,0,1,0,NA,NA,NA,NA,20.28,41
"HTI","Haiti","Amerika","Latin-Amerika og Karibia",6831,0.614123160507395,143,74.07,27560,11123176,868.342024762787,4.94940384843253,55.278,447000,24.9,0.2,38,0,0,0,NA,NA,NA,NA,NA,NA
"HUN","Ungarn","Europa","Øst-Europa",4263,0.43608737050875,595,62.96,90530,9775564,16150.7727613725,19.1577253832321,71.351,17552000,9.75,5.3,70,0,1,1,NA,NA,0.829573817,NA,16.31,39
"IDN","Indonesia","Asia","Sørøst-Asia",78572,0.293547753356748,3710,71.76,1811570,267663435,3893.84642475571,5.85716561272863,55.325,15810000,25.85,0.1,61,0,0,0,1.94849246231156,1.85458542713568,NA,NA,NA,NA
